expert_id,tag
ecb4c398-c00f-41a8-b2ee-17b9203d9df3,of
ecb4c398-c00f-41a8-b2ee-17b9203d9df3,Omnichannel
ecb4c398-c00f-41a8-b2ee-17b9203d9df3,Freelance E-commerce Strategist
ecb4c398-c00f-41a8-b2ee-17b9203d9df3,Former
ecb4c398-c00f-41a8-b2ee-17b9203d9df3,Director
ecb4c398-c00f-41a8-b2ee-17b9203d9df3,Europe/London
ecb4c398-c00f-41a8-b2ee-17b9203d9df3,ASOS
ecb4c398-c00f-41a8-b2ee-17b9203d9df3,Marketing
2cb7b662-7837-47d4-88f9-d3583de921e2,Customer Insights Branch Manager
2cb7b662-7837-47d4-88f9-d3583de921e2,and
2cb7b662-7837-47d4-88f9-d3583de921e2,Certex E-commerce Solutions
2cb7b662-7837-47d4-88f9-d3583de921e2,customer
2cb7b662-7837-47d4-88f9-d3583de921e2,Manages
2cb7b662-7837-47d4-88f9-d3583de921e2,insights
2cb7b662-7837-47d4-88f9-d3583de921e2,analytics
9e582ee1-5eea-4a1f-b7b8-06904f345890,Global Retail Chain
9e582ee1-5eea-4a1f-b7b8-06904f345890,and
9e582ee1-5eea-4a1f-b7b8-06904f345890,customer
9e582ee1-5eea-4a1f-b7b8-06904f345890,Former Director of Customer Insights
9e582ee1-5eea-4a1f-b7b8-06904f345890,end-to-end
9e582ee1-5eea-4a1f-b7b8-06904f345890,"US, UK"
9e582ee1-5eea-4a1f-b7b8-06904f345890,insights
9e582ee1-5eea-4a1f-b7b8-06904f345890,Managed
b4f9e18e-d4ad-4afd-adaf-837887bfb62a,Current
b4f9e18e-d4ad-4afd-adaf-837887bfb62a,of
b4f9e18e-d4ad-4afd-adaf-837887bfb62a,Experience
b4f9e18e-d4ad-4afd-adaf-837887bfb62a,VP
b4f9e18e-d4ad-4afd-adaf-837887bfb62a,US
b4f9e18e-d4ad-4afd-adaf-837887bfb62a,Leading Direct-to-Consumer Brand
b4f9e18e-d4ad-4afd-adaf-837887bfb62a,VP of Customer Experience
b4f9e18e-d4ad-4afd-adaf-837887bfb62a,Customer
eca78225-5c27-4cd5-a3d7-21468166dcd9,Leading Global Retailer
eca78225-5c27-4cd5-a3d7-21468166dcd9,Drives
eca78225-5c27-4cd5-a3d7-21468166dcd9,"US, UK, APAC"
eca78225-5c27-4cd5-a3d7-21468166dcd9,strategic
eca78225-5c27-4cd5-a3d7-21468166dcd9,vision
eca78225-5c27-4cd5-a3d7-21468166dcd9,the
eca78225-5c27-4cd5-a3d7-21468166dcd9,Chief Digital Strategy Officer – Customer Experience
eca78225-5c27-4cd5-a3d7-21468166dcd9,for
f953b54f-95fd-4efa-8308-1de45ae8883d,"Vice President, Digital Customer Experience"
f953b54f-95fd-4efa-8308-1de45ae8883d,Leading Retail Tech Firm
f953b54f-95fd-4efa-8308-1de45ae8883d,integrating
f953b54f-95fd-4efa-8308-1de45ae8883d,digital
f953b54f-95fd-4efa-8308-1de45ae8883d,in
f953b54f-95fd-4efa-8308-1de45ae8883d,Extensive
f953b54f-95fd-4efa-8308-1de45ae8883d,experience
6bcd8bf9-1532-4f3b-9ec6-4a50770843b2,Current
6bcd8bf9-1532-4f3b-9ec6-4a50770843b2,of
6bcd8bf9-1532-4f3b-9ec6-4a50770843b2,Experience
6bcd8bf9-1532-4f3b-9ec6-4a50770843b2,Head of Customer Experience
6bcd8bf9-1532-4f3b-9ec6-4a50770843b2,Customer
6bcd8bf9-1532-4f3b-9ec6-4a50770843b2,APAC
6bcd8bf9-1532-4f3b-9ec6-4a50770843b2,Head
6bcd8bf9-1532-4f3b-9ec6-4a50770843b2,Lazada
d91a4faf-c94c-438e-8270-d76014648895,projects
d91a4faf-c94c-438e-8270-d76014648895,Rakuten
d91a4faf-c94c-438e-8270-d76014648895,digital
d91a4faf-c94c-438e-8270-d76014648895,focusing
d91a4faf-c94c-438e-8270-d76014648895,transformation
d91a4faf-c94c-438e-8270-d76014648895,APAC
d91a4faf-c94c-438e-8270-d76014648895,Led
