id,expert_id,role,company,start_date,end_date,project_id,organization_id,source_email_id
07306635-07b4-41d1-b5f5-0648d0d963bf,5f71a7e8-d0d9-45a3-9441-7e087b4187b8,Director of Digital Health,NHS Trust,2017-02-01 05:00:00+00,2020-03-01 05:00:00+00,04049c5d-99fb-401e-a346-1975413934d9,c988949f-d1ff-11ef-9e50-9afa7bdc3275,2adc0a39-f34c-4110-a9cd-da0701097b8f
0793acf3-e97a-4001-8bc0-7fb3bca4bdeb,dc2ccaff-8bda-4832-8a3e-cbfc4d1837f7,Chief Technology Officer – Renewables,Global Energy Firm,2021-11-01 04:00:00+00,,e255a3f2-6a7a-4a18-a4e4-d37216284b9f,c988949f-d1ff-11ef-9e50-9afa7bdc3275,27f1cd6c-2614-4c6b-82e1-9694ec6886a7
0c9bdeb1-3b16-4112-95ae-dcec895d8db6,779dd2a4-40ce-4291-99d2-9cf9cbac05eb,VP of Customer Experience & Digital Strategy Lead,Amazon,2014-01-01 05:00:00+00,,786b7b2f-ece7-4574-9994-2f0762b53f6b,c988949f-d1ff-11ef-9e50-9afa7bdc3275,a31e910e-14a0-42a6-88f2-f6c03fff0b6b
0d2505bc-2007-4ce4-8d40-fed854198294,6bcd8bf9-1532-4f3b-9ec6-4a50770843b2,Head of Customer Experience,Lazada,2020-03-01 05:00:00+00,,786b7b2f-ece7-4574-9994-2f0762b53f6b,c988949f-d1ff-11ef-9e50-9afa7bdc3275,a31e910e-14a0-42a6-88f2-f6c03fff0b6b
0e1b6fb6-d00a-422e-b56e-b3702464fca8,dda7562b-3e3d-4644-aace-b68c98b9990c,Director of Sustainability Strategy,Ørsted,2008-01-01 05:00:00+00,,e255a3f2-6a7a-4a18-a4e4-d37216284b9f,c988949f-d1ff-11ef-9e50-9afa7bdc3275,27f1cd6c-2614-4c6b-82e1-9694ec6886a7
136c9b20-028c-4284-8893-d0a462bdcac3,2cb7b662-7837-47d4-88f9-d3583de921e2,Customer Insights Branch Manager,Certex E-commerce Solutions,2018-01-01 05:00:00+00,,786b7b2f-ece7-4574-9994-2f0762b53f6b,c988949f-d1ff-11ef-9e50-9afa7bdc3275,a31e910e-14a0-42a6-88f2-f6c03fff0b6b
261213d9-38a6-4174-a70e-f59e1c684628,9e582ee1-5eea-4a1f-b7b8-06904f345890,Former Director of Customer Insights,Global Retail Chain (US/UK),2025-01-01 05:00:00+00,2025-01-01 05:00:00+00,786b7b2f-ece7-4574-9994-2f0762b53f6b,c988949f-d1ff-11ef-9e50-9afa7bdc3275,a31e910e-14a0-42a6-88f2-f6c03fff0b6b
29dbc046-4748-40dd-aa99-c9a3a50ca78b,38aa8aa2-7b61-4a83-90c8-45e361f1f267,Digital Payments Branch Manager,Certex Fintech Solutions,2018-01-01 05:00:00+00,,21e0b2f6-c8d0-47db-af1a-2b03ec48b69c,c988949f-d1ff-11ef-9e50-9afa7bdc3275,0c8c209d-6ec7-4f0c-b465-bd75e49f064f
2eec44fa-f7ad-41c8-8b5c-c515589703c4,1a90d570-c503-49ac-b5d8-912387f4e918,VP of Supply Chain Management,Hyundai,2018-01-01 05:00:00+00,,b0ed56b6-8219-42f7-87a6-03dee91733c4,c988949f-d1ff-11ef-9e50-9afa7bdc3275,3865508f-1665-4402-a75f-44d37276c675
2ff19abf-381e-430e-bbfe-4509c9b5b718,002beb13-fb96-4393-9202-f1f6b6ca7e58,Head of Global Logistics,BMW,2018-03-01 05:00:00+00,,b0ed56b6-8219-42f7-87a6-03dee91733c4,c988949f-d1ff-11ef-9e50-9afa7bdc3275,3865508f-1665-4402-a75f-44d37276c675
373a4a5f-47f9-488c-948f-5720f96c3f5b,243a78c9-d73d-4900-8a58-b8d0602427e7,Chief Digital Officer,JPMorgan Chase Digital,2012-01-01 05:00:00+00,,21e0b2f6-c8d0-47db-af1a-2b03ec48b69c,c988949f-d1ff-11ef-9e50-9afa7bdc3275,0c8c209d-6ec7-4f0c-b465-bd75e49f064f
37f9ba2f-552a-43e2-8b40-9b219097f6f4,5face4fc-2417-402b-8b4f-48038a11e483,VP of Supply Chain Management & Global Logistics Lead,General Motors,2012-01-01 05:00:00+00,,b0ed56b6-8219-42f7-87a6-03dee91733c4,c988949f-d1ff-11ef-9e50-9afa7bdc3275,3865508f-1665-4402-a75f-44d37276c675
3c724e13-884f-47c4-87cb-21dd400bffa3,a9017703-9069-4e75-a382-79f38640d00f,Senior Manager – Global Health Informatics & AI Strategy,Cleveland Clinic,2016-10-01 04:00:00+00,,04049c5d-99fb-401e-a346-1975413934d9,c988949f-d1ff-11ef-9e50-9afa7bdc3275,2adc0a39-f34c-4110-a9cd-da0701097b8f
3e8458dd-9b21-49fc-9f73-e5f849335dbb,192803be-5531-454b-b0ca-f543cfcf4087,Independent Supply Chain Consultant,Major Automotive Manufacturer,2019-01-01 05:00:00+00,,b0ed56b6-8219-42f7-87a6-03dee91733c4,c988949f-d1ff-11ef-9e50-9afa7bdc3275,3865508f-1665-4402-a75f-44d37276c675
419a42e9-c65b-4aeb-a279-09eb6026fe13,f953b54f-95fd-4efa-8308-1de45ae8883d,"Vice President, Digital Customer Experience",Leading Retail Tech Firm,2023-05-01 04:00:00+00,,786b7b2f-ece7-4574-9994-2f0762b53f6b,c988949f-d1ff-11ef-9e50-9afa7bdc3275,a31e910e-14a0-42a6-88f2-f6c03fff0b6b
48989f44-9fa2-4b8c-b143-2eadd4c5bc33,1a90bacd-1263-4a86-be07-0440be52352d,Freelance Fintech Strategist,Barclays Digital,2010-02-01 05:00:00+00,,21e0b2f6-c8d0-47db-af1a-2b03ec48b69c,c988949f-d1ff-11ef-9e50-9afa7bdc3275,0c8c209d-6ec7-4f0c-b465-bd75e49f064f
4bb72b09-a55b-4e98-b1ea-79cacbee2155,6c861aab-8b56-451d-80b4-901f23565c00,Supply Chain Innovation Branch Manager,Certex Manufacturing Solutions,2023-11-01 04:00:00+00,,b0ed56b6-8219-42f7-87a6-03dee91733c4,c988949f-d1ff-11ef-9e50-9afa7bdc3275,3865508f-1665-4402-a75f-44d37276c675
4d0b4448-ce9f-44b2-9189-648bd7a61bc8,8f7a6e8d-4fe3-452b-863a-7971fe78e8d7,"Head, Global Digital Strategy",ING,2019-03-01 05:00:00+00,2023-01-01 05:00:00+00,21e0b2f6-c8d0-47db-af1a-2b03ec48b69c,c988949f-d1ff-11ef-9e50-9afa7bdc3275,0c8c209d-6ec7-4f0c-b465-bd75e49f064f
4fee97c5-0a94-442e-899b-e67681352b34,e0edade1-343c-4f79-a263-9b218cea4126,Former Director of Operations,a Major Renewable Firm,2012-01-01 05:00:00+00,2018-12-01 05:00:00+00,e255a3f2-6a7a-4a18-a4e4-d37216284b9f,c988949f-d1ff-11ef-9e50-9afa7bdc3275,27f1cd6c-2614-4c6b-82e1-9694ec6886a7
58947fde-d5d5-40ef-8893-c91f5354301e,ea1375f8-5053-483f-8f57-2cbcf97d339a,Senior Manager – Global Digital Compliance & Innovation,Bank of America,2018-10-01 04:00:00+00,,21e0b2f6-c8d0-47db-af1a-2b03ec48b69c,c988949f-d1ff-11ef-9e50-9afa7bdc3275,0c8c209d-6ec7-4f0c-b465-bd75e49f064f
58d91955-32dc-4d93-97a3-f8ecd81c8a23,704fc6c5-0099-4b95-8c7d-e500db5988cb,Freelance Supply Chain Strategist,Volkswagen,2010-02-01 05:00:00+00,,b0ed56b6-8219-42f7-87a6-03dee91733c4,c988949f-d1ff-11ef-9e50-9afa7bdc3275,3865508f-1665-4402-a75f-44d37276c675
5924d729-0770-4cab-b2e7-f797e0520e11,df73d315-0aab-417d-9cc7-ef7946fc910f,Head of Digital Innovation,Barclays,2021-03-01 05:00:00+00,,21e0b2f6-c8d0-47db-af1a-2b03ec48b69c,c988949f-d1ff-11ef-9e50-9afa7bdc3275,0c8c209d-6ec7-4f0c-b465-bd75e49f064f
59d464d6-a0a4-4466-b957-241be25af665,3b9bbec8-e8ac-4f8a-8589-5cfca579e589,Director of Digital Transformation,University Hospitals,2015-04-01 04:00:00+00,2021-01-01 05:00:00+00,04049c5d-99fb-401e-a346-1975413934d9,c988949f-d1ff-11ef-9e50-9afa7bdc3275,2adc0a39-f34c-4110-a9cd-da0701097b8f
610effb1-6964-47dd-ac16-c712cdb231e3,a427b73a-6d45-44d7-a934-a4dac5e11298,Senior Manager – Global Energy Innovation & Market Dynamics,Ørsted,2014-10-01 04:00:00+00,,e255a3f2-6a7a-4a18-a4e4-d37216284b9f,c988949f-d1ff-11ef-9e50-9afa7bdc3275,27f1cd6c-2614-4c6b-82e1-9694ec6886a7
6b1ca203-7c53-4b66-bc3e-1f73a9875201,ea65954a-cc76-4798-bd60-43c950dbcdca,Head of Digital Innovation,Bank of America,2008-10-01 04:00:00+00,,21e0b2f6-c8d0-47db-af1a-2b03ec48b69c,c988949f-d1ff-11ef-9e50-9afa7bdc3275,0c8c209d-6ec7-4f0c-b465-bd75e49f064f
6e468592-d172-4faa-a07e-e62ea7fcfa38,75f95df7-caf0-4ec6-9b68-4a03c00acb93,"Specialist Digital Innovation Architect & Chief Technology Officer, Fintech Division",Citibank,2022-11-01 04:00:00+00,,21e0b2f6-c8d0-47db-af1a-2b03ec48b69c,c988949f-d1ff-11ef-9e50-9afa7bdc3275,0c8c209d-6ec7-4f0c-b465-bd75e49f064f
7255a376-710a-41c0-8064-4d03e26b9cb1,6d0e61a0-f13d-4e5d-8c49-c8a2b4868ced,Director of Omnichannel Marketing,ASOS,2011-01-01 05:00:00+00,,786b7b2f-ece7-4574-9994-2f0762b53f6b,c988949f-d1ff-11ef-9e50-9afa7bdc3275,a31e910e-14a0-42a6-88f2-f6c03fff0b6b
